reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,label
AFMS6SBZMBR08,B0000VW17E,Bell Tactical,"[0, 0]",Without getting into the nittygritty there was a recent flooding situation and 2 elderly people were literally hanging in to a tree within minutes of Well you get the picture  Amazingly no first responders law enforcement had any type of rope or rescue line and 2 deputies ended up having to exit their vehicles  water up past the patrol car doors with a fairly swift current running to get to these poos people and get them to safety  I ordered 12 of these and within 2 days an almost identical situation occurred  This throw bag  and the floating line  made a potentially life threatening situation become a rapid rescue  I now have one in each of my vehicles and on my boat  Cant say enough good things here  for the money considering the application this is a valuable product  If you own a boat or live in an area where flooding may be an issue you should have this  Enough said,5.0,Great solution to a common problem,1399939200,"05 13, 2014",5
AHM8R6ATGRDTU,B003AH8JU8,Jenny,"[0, 0]",I is slowly deflating after having it for about a mont  How do I inflate it  It was perfect for my exercises but not now,2.0,Slowly Deflating,1393113600,"02 23, 2014",5
A2CIVCT9S4U2G7,B001UCBSNU,stargazer,"[0, 1]",it is made out of plastic so I am not sure how it will hold up to some punishment heat and just stuff the way it fixes to the scope is not the best method around  So if you just going to go to the range it might work for a while  If you gonna go do other wise you might consider something made out of metal and has a better locking mechanism,3.0,it is not what I expected but it will work I think,1370908800,"06 11, 2013",5
A3LODK1E4SKGMC,B002K2IT6I,Moriah LeBrun,"[0, 0]",Great for the price and fits inside of a 27 1  14 tire nicely Hopefully it meets my expectations in the long haul,5.0,So far so good,1365724800,"04 12, 2013",5
A3FZ8FXJ43GFAH,B00180D1ES,bigghoss,"[0, 0]",Well it was used and cheap so I didnt expect too much It didnt have enough tension to stay in my pocket when I drew the knife but I can tweek it a little and make it work,3.0,Alright for used,1348531200,"09 25, 2012",5
AJTW44BA9DC7U,B005W70BQO,Austin,"[0, 0]",cheap a little bulky but it worksHavent had a chance to fire it yet and that might change things but I have shaken it around the pressure switch has a very weak adhesive to it but a little spray tack works wonders Not bad at all for the pricesighting it is a pain but for me it wasnt too bad off at like 1015 yds Itll hit the chest,4.0,cheap but works,1373932800,"07 16, 2013",5
A2FIC05DY3HT7J,B000ETXX1U,Philster Philster,"[1, 1]",Ive purchased several air mattresses in the past twenty years  Most of them Ive used a few times and they fail to hold any air after a few uses  These are air mattresses Ive payed anwhere from 30  60 for  When I needed a new air mattress when we were moving I decided it was time to buy an air mattress that would lastI purchased this air mattress in July 2008 from Amazon  As a Prime member the mattress arrived at my new house the day I arrived giving me a mattress to sleep on that evening  The mattress aired up then as it does now in under five minutes and deflates by its own pumps in about the same time making for easy storage in its own bagNow the number one issue Ive always had with air mattresses is leaking air  This mattress has had at least a few months of use off and on in the past three years  Ive never had an issue with air loss although it seems it is better to add more air to the outside chamber after the inside chamber has been aired completely  The second issue with air mattresses is comfort  This is by far the most comfortable air mattress Ive ever slept on  In fact Id sleep on this every night if I could  I have back issues and this mattress is far more comfortable on my back than my conventional mattressIm writing this review today because I have this mattress aired up in our guest room from a month ago  I have a desk in that room and have even thrown a few books and files on the mattress over a few weeks  Out of curiosity I decided to see if the mattress was still firm and to my surprise I could not believe it didnt need air added to it  I would recommend this air mattress to anyone who needs an air mattress and wants to be able to use the air mattress more than once or twice in addition to comfort  It may be about twice as much money as a smaller mattress but the knee height is much easier when sleeping on it and the comfort is many time better  Ive estimated that the cheaper mattresses have cost me several times more money per nights use compared to this one as they lasted for such a short timeUPDATE 92113I have started using this mattress a few days a week for the past several months  My guess is that this mattress has been used by my estimate at least 100 nights maybe closer to 150 nights and it still holds air well  Recently Ive had the mattress inflated for over two months and have not had to add air once  In the past I have purchased half a dozen air mattresses and all of them combined have not lasted as long as this one has  I would highly recommend this air mattress to anyone looking for an air mattress that they wish to use for more than a few nights,5.0,Worth the money,1313107200,"08 12, 2011",5
A1A4QS1KBUTM5C,B00IDEBFUY,medic72072,"[0, 0]",The tripod is nicely made out of anodized aluminum and weighs only 15 oz  The construction seems solid  Takes up very little room and it easy to pack  This is great to use with the Solo Stove Pot 1800 for increased stability when you are having problems finding a nice level surface to cook  The adjustable chain works flawlessly to adjust the height you need for the pot above the stove  Gives you a pretty cool way of controlling heat and at the same time it will decrease the amount of soot that collects on your pots  A pretty cool feature to use with your Solo Stove and accessories  If you are looking for something to help increase the stability of your Solo Stove cook system this tripod will definitely do the trick for you,5.0,Nice Addition To Solo Stove Titan,1394668800,"03 13, 2014",5
A2MKS9CVPYG24W,B0002IOCFE,WalterGA,"[1, 2]",Had trouble with a different brands catching the front sight of my Ruger Mark III 2245  The Uncle Mikes holster solved that problem and works great  I recommend it highly,5.0,Uncle Mikes Sidekick Great Holster for Money,1374019200,"07 17, 2013",5
A3IE1LL6UGSNL6,B0000C1DY4,Michael Mcmullen Mike,"[5, 5]",Works great on Taurus 992  I only wish someone would make a speed loader for the Taurus for 22 Mag  The Taurus Tracker 992 has both 22lr and 22Mag cylinders,5.0,Works great on Taurus 992,1350345600,"10 16, 2012",5
A2HDNC32IICQXZ,B00BMAFOKS,DMK,"[0, 0]",I have had this knife for awhile now and its great I wear it as a neck knife to use for EDC mostly opening packages etc The knife itself is great quality and the sheathe is as well the knife locks in good It might get easier with break in time but it takes a bit of force to remove it but of course that is preferable to it falling from the sheathe,5.0,Great knife,1402876800,"06 16, 2014",5
A1FPJYSEH5Z53L,B0009R96YK,Barataria,"[0, 0]",I love my Mirrycle mirrors  They were easy to install nice looking and they have been extremely easy to use  They are nice looking mirrors but I do wish they were a little bigger,5.0,Love my mirrors,1310601600,"07 14, 2011",5
A2LGMZILLL4V7F,B002A46K26,Paul C Sitton PAUL C SITTON 34Tailgunne,"[0, 0]",Good selection of metal pellets for my CO2 powered guns  All selections perform flawlessly and with no hang ups to bother with  It is most  educational to have a choice of 4 different pellets to try without having to invest in a larger lot with not really having used any one of the pellets  These folks are good to do business with and I would refer them to anyone,5.0,Good Choice in Pellets,1360022400,"02 5, 2013",5
AWRSP7CXI7ER2,B003H24KUE,Samantha,"[0, 0]",I was intrigued by this water bottle but was not overly impressed when I received it  I followed the instructions before the first use and afterward I still had black flecks in my water over the few weeks that I tried to use it  It does make noises when you suck on the bottle so as some people have commented it is not the most quiet water bottle to drink out from if you are in a quiet place  Since the top opening is small it is difficult to fit ice cubes in the bottle  I will probably go back to using my old water bottle but I think the concept behind this water bottle is a good idea,3.0,Alright water bottle,1354233600,"11 30, 2012",5
A29RLLLY7KWSC5,B001CPGVB4,kyle,"[0, 0]",The only reason why i gave this knife 2 stars is because the screw that keeps the blade connected to the handle comes out very easily,2.0,MTECH XTREME USA MX8027A TACTICAL FOLDING KNIFE,1399766400,"05 11, 2014",5
A3M5Q5ZAUQ0U8P,B00162JKH0,Netharlan,"[0, 0]",Same review as the blackhawk cheek pad since they are very similar I just like the fit and finish with the string cinch better than the velcro strapping on this onestill would like 3 things better1 Make one of these that has only a small pouch for drop charts instead of a big compartment to fill with a bunch of stuff you dont really need but you put in there because of the space2 A flap to cover the ammo on the side so they dont scratchcatchpush outget dirty3 This would be even nicer if it came with comfort inserts to control the cheek rise just saying I shouldnt have to cut up mouse pads,3.0,It would be a 4 star but I like the string cinch better on the blackhawk,1360195200,"02 7, 2013",5
A28C6DF05LQ9NK,B007Z1IDC4,Robert Patterson,"[1, 1]",Bag was clean and appears new It only weighs 3 lbs 24 oz A lot for ultralight backpackers but good for light or heavier It compresses to a small size and is warm I used it down to 28F in a tent and was warm I just returned a bag that weighed 3lbs 8 ozs that was comparable to this one but it cost over 200,5.0,Great Bag,1397692800,"04 17, 2014",5
A1RFHFEKZ8E6NC,B000BTNLVK,Charles H Earnheart,"[0, 0]",These pellots work very well in my Crosman air rifle Nitro Venom Dusk  Thes will last a considerable length of time and I hope they will be available in the future,5.0,Very Accurate,1394409600,"03 10, 2014",5
A1X84MPV1YXDY5,B0038LRU9M,The Bran Man,"[1, 2]",These tires are great I switched to these from my Michelin Pro 3 Race tires and have noticed NO loss of performance These tires last a good long time and have great puncture resistance They grip well and arent too difficult to mount either If you are looking for a reliable tire that doesnt break the bank these are the tires to choose The fact they come in an assortment of colors is also a nice bonus,5.0,Great Everyday Tires,1390262400,"01 21, 2014",5
A3U52V5ZAHZZKU,B004K9XOH8,Wayne Crenwelge teacher,"[0, 0]",I got input from my kids of what type of iPhone protect I should get  They have tested others over the years and when they got their iPhones upgraded last year this is the product they chose  They have no complaints and neither do I after about two months of use  The case is inexpensive but does what it is supposed to doprotect the iPhone  Not much more needs to be said  I like it,5.0,Great way to protect my iPhone,1347235200,"09 10, 2012",5
A2P3LMWDQR78B4,B0002IOARE,Matt R,"[0, 0]",Id initially bought a swivel stud set from Outdoor Connection I liked the design of it better but unfortunately the bevel left on the stud at the top near the knob made it bind inside the lug on my 185 HD barrelWhat that stud has that this Uncle Mikes stud does not is that the QD eyelet on it was free swiveling it was on a pinned bolt thru the middle of the main bolt that allowed it to spin freely within the setup  This one the eyelet is screwed into the center so it is possible that you would be able to unscrew it from the middle of the boltbut youd have to let it unscrew quite a ways to have that happenThe other thing that I liked about the Outdoor Connection on vs this Uncle Mikes is that as other had mentioned The Uncle Mikes is made in China whereas the other was Made in the USAThat being said this one installed in minutes came with everything needed to make it work and seems to hold up just fine  Id recommend it for anyone looking to put a sling on their Mossberg,4.0,Pretty good overall works well,1399852800,"05 12, 2014",5
A19WB4OO3EF0MM,B000I55OL2,Mieshka,"[0, 0]",I purchased this helmet for my 3 year old  He wears a size 5 bike helmet  This is slightly loose but is fine for the little skateboarding hes doingwhich is just me holding him and pushing him along basically  By the spring this will fit excellent  I specifically chose it because of all the vents  My son gets extra sweaty I think this helmet will help him stay cool and it looks cool as well,5.0,Great helmet,1383004800,"10 29, 2013",5
A1WAFRYIKY8HQ5,B000IE3ZKA,JACOB,"[1, 1]",great knife holds sharp edge strong full tang blade  small enough for everyday belt carry or just to throw in the truck,5.0,blount88,1317686400,"10 4, 2011",5
A1YSYUQPVH3GHJ,B004MN8R92,Cory Nordic Fox,"[0, 0]",The sword itself is not historically accurate the wasp waist is a little exaggerated and the pommel is massive but for training in gladius or shortsword style stabbing slashing and swordtoshield attacks this sword is excellentThe weight also makes it perfect for stab practice swing practice and open sparring since it is heavier than a steel sword of the same size but not so heavy as to make it feel like youre swinging a brick5 stars because Rome And polypropylene think glock handle is nigh invincibleHistorically Roman Legionnaires trained with wooden swords the Gladius and Spatha respectively against wooden poles so having this invincible sword to swingstab at stuff is pretty accurate to training style in that sense,5.0,Not the most accurate but good for training,1388448000,"12 31, 2013",5
A14S2P9NK1V9VW,B0026OOS60,N J Steere,"[1, 1]",The reviews are true  with two people working it this thing went through a 634 branch in no time flatI would feel very comfortable bringing this into the woods with me  The pouch is also of good construction with a large reliable closure,4.0,Great camping saw,1358467200,"01 18, 2013",5
A33775AIB1A664,B000MN92WM,Mark Colan dukeofurl,"[1, 1]",PROSAccurate can set to your strideSaves both aerobic and intermittent walking amountsAttaches to computer via USB 20 cable includedWorks in pocket backpack purse etcIncludes sftware that supports WindowsInexpensiveCONSUSB connection occasionally does not workClunky user interface for softwareDoes not differentiate between flatland walking and climbing hillsNo way to turn it off for other activities  like bicyclingSoftware does not support Mac Linux etcWeak definition  implementation of aerobicI carry this unit with me all the time to record my daily activity  If I see that I have not been active enough I know its time to get walking again  The measurement of my activity for me works as an incentive to keep at itThe battery lasts a few months  You might want to order a few CR2032 button batteries at the same time cheap on Amazon to keep it going  Youll need only a small Philips screwdriver to change the batterySetup is straightforward though the buttons are a bit finicky  no matter you wont be doing it often  You can set current time length of your stride your body weight  The latter two are used to calculate roughly the calories you burned  The stride is used to calculate the distance you covered from the number of steps it recordsIf you dont know your stride use the default stride then go to google maps to find a route of a given length  suggest a quarter mile or more  Note number of steps before and after your walk then divide distance by steps to get stride length of one step and set itYou may wonder how the device figures out when you are getting aerobic exercise  Well it doesnt really because there is no sensor for your heartbeat  Instead it assumes that if you have walked nonstop for 10 minutes or more then it was aerobic otherwise it was not  So you could be walking at a very slow pace not taxing your heart or lungs and have it measured as aerobic  Its not perfect but it is some indication of how much effort went into a particular days walkingCalories burned is also an approximation based on your body weight length of stride aerobic vs nonaerobicThe software is clunky  It has two separate screens  The first one is user management  It seems silly to have to create a record set for yourself when I am the only user of the software  The Graphics Screen is the only one I really want to useI occasionally have a problem where I click download and it says it is downloading but the progress indicator does not move from 0  The manual says only that you should use the cable provided with the product  Since I have several cables with the same connectors it is hard to know which one came with this unit  it is not marked Omron  But any USB 20 cable with the same connectors usually works except when it does notIf using the right cable does not work try uninstalling and reinstalling the software  That fixes the problems for me in most casesDespite these minor problems I really like the device and its ability to save data to the computer which motivates me to walk moreBOTTOM LINE  Great pedimeter average software so four star rating,4.0,Good Pedometer with Computer Logging,1322352000,"11 27, 2011",5
A2DMN1WJOSMGO0,B0099DMELW,J L HURLEY JLH820,"[12, 15]",It goes perfectly with the FrogLube CLP  FrogLube products are all I use now and I cant say enough good things about them  Even though FrogLube CLP is a cleaner this gets even more clean  Im spotless like just manufactured  I use a bore light to check my bores after cleaning and Ive never had them come out spotless with anything else  Theres always been some sort of residue around the lans and grooves  Not with this stuff  I use this with heat just like the CLP and then follow up with FrogLube CLP and completely and utterly spotless  My hardest gun to clean is my 1022 especially up by the chamber area  This stuff makes it look like new again  I use both of the products and by the time Im done youd swear it was a new part  Amazing  I keep saying this is the best stuff since smokeless gunpowder,5.0,Absolutely Fantastic,1353628800,"11 23, 2012",5
A2XRMQA6PJ5ZJ8,B002E6R66O,Roger J Buffington,"[1, 1]",These snap caps do what they are supposed to  They chamber nicely in the M1 Garand and eject just as a real round should  So these are a good way to test your rifle and its action  I dung it one star for being a bit on the pricy side  For this price it would have been nice if they gave us 8 of these  enough for an Enbloc clip  RJB,4.0,Functions just as it should,1386374400,"12 7, 2013",5
ARTSSZHO3ZYYR,B004XG21BS,R Billings,"[0, 0]",I have ordered these numerous times and while they are not the most cushioned sock around they are a good weight for summer and winter and wear well,5.0,ankle socks,1329782400,"02 21, 2012",5
A55AVHDVGSMHZ,B000UUMX0K,aero_fun,"[0, 0]",My wifes original SW grip was too small This grip was a wonderful replacementit is easier to hold and provides more 34cushion34 to her hand,5.0,Great replacement grip,1362096000,"03 1, 2013",5
AOFGZ0KPFN74M,B000NLA4PM,Glenn,"[0, 0]",This is a basic no nonsense bottle Cap works perfectly giving you the feeling of confidence in your ability to close it very tight but seals very well with a light closure Volume markings are handy sometimes and can be completely forgotten otherwise Also this thing feels indestructibleBeware of the wide mouth bottle if you have a habit of dribbling your drinks I like the wide mouth for ease of filling and adding ice but drinking from a smaller opening is easier especially when not stationary There are products that give you the best of both worlds adding a 2nd smaller cap on wide mouth bottle Something like that would be a thoughtful inclusion from Nalgene,5.0,Cant go wrong here,1402444800,"06 11, 2014",5
A1HAHPVY5LDEC0,B000U400TC,Credx2,"[0, 0]",This is a well made holster that fits both me and my weapon well  Im not concerned about retention as it is deep enough in the waste band to hold it tight to the body without over tightening the belt or obscuring the grip  I wear it without a belt occasionally and it remains secure,5.0,Galco quality and design,1369094400,"05 21, 2013",5
A28I0PAY6O624P,B004NKRZEC,gman,"[0, 0]",the sight moves from side to side Im sure ther are better flip up out there but you get what you pay for,3.0,Its ok,1383955200,"11 9, 2013",5
A3U7SC5HOS58OA,B000FE5P88,adubz44,"[0, 0]",ProsThe cooler is removable from the inflatable baseThe cooler has a zipper better than the Velcro on another similar product being sold on AmazonKeeps drinks cold for a few hours but definitely not all dayPerfect for a trip on a lazy riverConsThe color is extremely obnoxiousCooler will hold 24 cans if you put zero ice inside We only put 12 beers 2 water bottles and ice and it was full but stayed cold for 5 hoursThe best part of this product is the removable cooler Just fill up your cooler and inflate the base when you are ready to use it Great for river trips or while boating to use as a secondary cooler,4.0,Pretty decent,1375056000,"07 29, 2013",5
A393MV5JXZF5AP,B0012Q2S4W,Harlan,"[0, 0]",I was amazed that after I used it the first time I was able to swim 75 laps and the goggles still had not fogged up  I had stopped using my previous product several years ago do not remember brand when it was just not effective  This will definitely stay on my reorder list when I have to order more next year,4.0,Works very well,1382054400,"10 18, 2013",5
ALDKBXKQW78KI,B001DRJFYG,MF,"[7, 10]",Good Simple Solid Obviously not a hanging by a rope type deal Deff a good belt for all other purposes I personally purchased this belt to use injunction with a backpack I have I do not use it for a duty belt I do often use it with a drop leg holster It is what it is,5.0,Good,1282435200,"08 22, 2010",5
A3N65H2Q320Y4H,B005GYGD7O,Ronica H,"[0, 0]",Fit snug and dont mess up when Im running They work for Insanity TurboFire and T25 workouts as well They are comfortable and functional,5.0,Love these,1397692800,"04 17, 2014",5
A2MUH6DLH94TYW,B002SF2ZXU,Marlene Pfeifer,"[0, 0]",This works great but I did break the decapper pin after about 600 crimped primers  I cannot believe how nice this is to use,5.0,This is a must have for crimped primers,1389744000,"01 15, 2014",5
AE2I87RNTD4TO,B00BT4LTA6,Randy Frequent Amazon Buyer,"[0, 0]",Easy to set up Remove the battery door connect the battery and replace the door The battery door is held in place by two screws it does not snap shut like other productsThe connect the button where you can reach it easy then attach the horn The wire is kind of short I would have liked a longer wire to give me more flexibility in placing the hornThe horn itself is quite loud just a quick press is all you need to get someones attention,5.0,Nice and loud,1377302400,"08 24, 2013",5
A1CHF9VHRDTTO5,B007Y15LDE,Steve,"[6, 12]",I received this item today  I couldnt wait to try it out  I AM REVIEWING THE SHAPENER THAT I RECEIVED  I had to put thatstatement in this review because some readers of my reviews dont understand that  I ordered this item because of the mostly highreviews  The high reviewers must have gotten a good one I am happy they did  I dont make a thing or make any gain by returningproducts  I went easy on the first attempt to  sharpen an axe  I began to sharpen a NEW axe that was a little dull  I sharpened on this axe for about 15 minutes because I assumed that it must be a much harder steel  I made no head way on sharpening this axeI then sharpened a new slightly dull hatchet this did a better job  I guess because the hatchet was small and probably asofter metal  By this time this new 50118 axe sharpener looked like it was tearing up  I am returning this product tomorrowAfter I looked a little closer the picture on the sellers page looked like it was made better and tougher than the actualproduct that I was holding in my hand It appeared to be very cheaply made  As the old saying goes  you can get a lemon on anything   The high reviewers musthave gotten a different sharpener than I  So you 4 and 5 star reviewers out there  I do believe that you got one of thesesharpeners that does what it says it will do,1.0,Worthless For Sharpening an Axe,1373673600,"07 13, 2013",5
AUWRF830PO35J,B000NMLXBA,Jerome Bruss djbruss,"[0, 0]",Does the job   Small and handy  Stays in my bugout bag,4.0,Does the job Small and handy ,1404691200,"07 7, 2014",5
A3NFYLKLB3DYX,B0069633CG,LD,"[0, 0]",Im not too disappointed since I got these below 10 but being a elite brand in the biking scene and carrying a descent retail price these gloves should feel and perform much betterfeels like absolutely no padding In the palms of gloves  After 25 mile ride my hands were raw from lack of padding compared to  the Bell gloves I am replacing ,3.0,Spend your money on something better,1377561600,"08 27, 2013",5
AR0QOXIQ7ZOKY,B001DMJPLO,C Macaluso,"[7, 8]",After a solid week of research I decided on a platform style hitch rack for my bikes However I also required compatibility with a Class 1 receiver which limits the amount of options I have with these styles of racks I was between a few brands but what sealed the deal for me was the ratcheting frame hooks Most racks in this price range look and function similarly but few have the ratcheting hooks and instead opt for a more complicated screw tension model This model also has updated rubber wheel straps as opposed to velcro straps like most other racks out there Both of these were selling points for me Another thing to mention is that this rack actually has an S shape to the receiver insert so it lifts the platform out of the way of low lying car exhaust pipesPackaging was pretty crappy with absolutely no padding to protect the rack but it did arrive undamaged The box was mangled though The ratcheting frame hooks dont really have much in terms of padding but instead have a harder rubber which does protect it from scratching or marring frames I further padded this rack with a bit of pipe insulation found at the hardware storeMy one unpleasant surprise with this rack was upon unboxing finding a warranty paper that stated that the rack came with a 1 year limited warranty I had done research on Swagman before this purchase and could have sworn I had read that all of their racks came with a limited lifetime warranty 1 year vs lifetime was a huge difference I was prepared to return it for that reason alone regardless of how it performed but after a quick email to Swagman it was confirmed that all Swagman racks do come with a limited lifetime warranty valid for the original purchaser I was relieved to hear thatOne other thing to note after a little reading of the manual the manual makes mention of avoiding use on cars with stiff suspensionsprings Unfortunately this rack will be also used on a sports car from time to time so I am going to pay special attention to it during that type of use but at a glance the rack seems way too sturdy to ever have a problem from shaking or jarringI would recommend this rackEdit One last thing to note The SUV that I will be using this on 2006 Honda CRV has a spare tire which extends off the back of the vehicle unfortunately this rack does not extend far enough out of the receiver to clear that spare tire and allow 2 bikes to be attached Without any sort of receiver extension I am limited to carrying one bike on the rack With a 7 extension I should be able to carry two bikes but would still not be able to fold the rack up into the stowed position,4.0,Rack is great for the price Warranty unspecified but I have the answer you are looking for,1309046400,"06 26, 2011",5
A7IE1QY6RI6RF,B003BAAJVG,Deal Hound,"[0, 0]",Installation is super easy  Its a very sturdy metal construction  Now Im able to put a bipod laser and strap on my 1022,5.0,Works like a champ,1359244800,"01 27, 2013",5
A11FJQLV3WPO8X,B003TP8HJ4,Xiong Wan,"[0, 0]",It looks nice and I enjoy it I wear it when I play basketball It is worthy of buying I think,4.0,I enjoy it,1384905600,"11 20, 2013",5
